priority,target_name,domain,target_type,relevance,submission_url,contact_name,contact_email,proposed_topic,recommended_landing_page,free_or_paid,eligibility,status,last_checked,notes
A,Power Electronics News,powerelectronicsnews.com,editorial,91,https://www.powerelectronicsnews.com/editorial-contributions-guide/,Aalyia Shaukat,aalyia.shaukat@aspencore.com,A Qualification Workflow for Thermal Interface Materials in IGBT and SiC Power Modules,https://ouyangthermal.github.io/thermal-pad-supplier-china/,free,eligible,researched,2026-09-24,"Named contact published; vendor lane explicitly open; 1500-2000 words; exclusivity required; recent TIM-in-IGBT/SiC coverage"
A,Electronics Cooling,electronics-cooling.com,editorial,90,https://www.electronics-cooling.com/editorial-contributions/,,editor@electronicscooling.com (fallback from call-for-authors),Why Thermal Conductivity Alone Cannot Qualify a Thermal Interface Material,https://ouyangthermal.github.io/benchmark-your-current-tim/,free,eligible,researched,2026-09-24,"Form-based submission; strictest non-commercial bar; no named editor on guideline page; no fee or geo restriction stated"
B,Europages,europages.co.uk,directory,88,https://www.europages.co.uk/en/registration,,,Supplier profile request — Thermal Interface Materials,https://ouyangthermal.github.io/,free,eligible,researched,2026-09-24,"Free company profile per Terms of Use; website hyperlink allowed on profile; 26 languages; ~2.5M companies"
B,GlobalSpec,globalspec.com,directory,87,https://www.globalspec.com/industrial-directory/thermal_interface_material,,,,,paid (sales quote),eligible (sales-gated),researched,2026-09-24,"Most TIM-relevant directory (spec search by W/m-K etc.); no self-serve signup; paid via sales/insertion order; no public pricing"
A,Electronic Design,electronicdesign.com,editorial,86,https://www.electronicdesign.com/contribute,,EDContributedArticles@endeavorb2b.com,What Engineers Should Compare Before Approving a Second-Source Thermal Pad,https://ouyangthermal.github.io/thermal-pad-supplier-china/,free,eligible,researched,2026-09-24,"Pitch-first (abstract/outline); explicitly free; exclusivity required; sister sites share guidelines"
B,Kompass,kompass.com,directory,83,https://us.kompass.com/register/company/,,,Supplier listing — Thermal Interface Materials,https://ouyangthermal.github.io/,region-dependent,eligible,researched,2026-09-24,"US tier paid USD 40-90; free web-presence tier advertised in some regions; manual application review"
B,DirectIndustry,directindustry.com,directory,81,https://www.directindustry.com/exhibit_on_directindustry/subscription,,,Exhibitor inquiry — Thermal Interface Materials,https://ouyangthermal.github.io/,paid (quote only),eligible,researched,2026-09-24,"Paid subscription; pricing opaque (sales quote); PDF catalogue/datasheet uploads are a signature feature"
B,Thomasnet,thomasnet.com,directory,74,https://www.thomasnet.com/suppliers/usa/thermal-interface-materials-84891878,,,,,n/a,NOT ELIGIBLE,rejected,2026-09-24,"Category page is USA-and-Canada-only; official help confirms North American supplier verification; faking a NA address prohibited"
C,NEDC,nedc.com,partner,87,https://www.nedc.com/contact-us/,NEDC Team,sales@nedc.com,Joint TIM selection + die-cut checklist / expert Q&A,https://ouyangthermal.github.io/benchmark-your-current-tim/,free,eligible,researched,2026-09-24,"Die-cut TIM converter with educational TIM content; published contact email; strongest value-chain fit"
C,Advanced Thermal Solutions,qats.com,partner,87,https://www.qats.com/Learning-Hub/White-Papers,ATS Team,ats-hq@qats.com,Joint TIM+heatsink selection guide / contributed TIM section,https://ouyangthermal.github.io/benchmark-your-current-tim/,free,eligible,researched,2026-09-24,"Heatsink/cold-plate maker; Learning Hub white papers incl. IGBT cold plates; published email"
C,Heatscape,heatscape.com,partner,86,https://www.heatscape.com/custom-heatsinks/optical-transceiver-module-cooling/,Heatscape Team,[email protected],Joint TIM selection checklist for pluggable optics,https://ouyangthermal.github.io/optical-transceiver-tim-supplier/,free,eligible,researched,2026-09-24,"Optical transceiver cooling; Dongguan office near Shenzhen; published email"
C,Fraunhofer IZM,izm.fraunhofer.de,partner,81,https://www.izm.fraunhofer.de/en/news_events/events/pcim/test-and-reliability-for-power-electronics.html,,(contact form only),Contributed section on accelerated TIM aging tests,https://ouyangthermal.github.io/benchmark-your-current-tim/,free,eligible,researched,2026-09-24,"Power-electronics reliability testing lab; form-only contact; high credibility"
C,MatWeb,matweb.com,partner,81,https://www.matweb.com/,,(contact form only),Joint TIM benchmarking / property-data resource guide,https://ouyangthermal.github.io/benchmark-your-current-tim/,free,eligible,researched,2026-09-24,"185k+ material datasheet database; form-only contact; accepts supplier data submissions"
C,Sunstone Circuits,sunstone.com,partner,75,https://www.sunstone.com/pcb-products/dfmplus,,(contact form only),Joint thermal-DFM + TIM selection checklist,https://ouyangthermal.github.io/thermal-pad-supplier-china/,free,eligible,researched,2026-09-24,"PCB/EMS with DFM resources; form-only contact"
C,Predictive Engineering,predictiveengineering.com,partner,74,https://www.predictiveengineering.com/home,,(contact form only; phone +1 503-206-5571),Expert Q&A on TIM thermal modeling/validation,https://ouyangthermal.github.io/benchmark-your-current-tim/,free,eligible,researched,2026-09-24,"FEA/CFD consultancy; form-only contact"
